name,ARname,ingredients,ARingredients,diet,ARdiet,prep_time,cook_time,flavor_profile,course,ARflavor_profile,ARcourse,state,region
Bisi bele bath,حمام بيسي بيلي,"Split pigeon peas, chana dal, urad dal, green peas, french beans",بازلاء حمامة سبليت، شانا دال، أوراد دال، بازلاء خضراء، فاصوليا فرنسية,vegetarian,نباتي,30,45,spicy,main course,بهارات,طبق رئيسي,Karnataka,South
Currivepillai sadam ,كوريفيبيلاي صدام,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",شانا دال، أوراد دال، جوز الهند الطازج، بذور السمسم، أوراق الكاري,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Dosa,دوسة,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",شانا دال، أوراد دال، أوراد دال كامل، مزيج الأرز، الملح الصخري,vegetarian,نباتي,360,90,spicy,snack,بهارات,تسالي,-1,South
Idiappam,إيديابام,"Rice flour, hot water, grated coconut",دقيق الأرز، ماء ساخن، جوز الهند المبشور,vegetarian,نباتي,120,30,spicy,snack,بهارات,تسالي,Tamil Nadu,South
Idli,إدلي,"Split urad dal, urad dal, idli rice, thick poha, rock salt",سبليت أوراد دال، أوراد دال، أرز إيدلي، بوها سميك، ملح صخري,vegetarian,نباتي,360,90,spicy,snack,بهارات,تسالي,-1,South
Kanji,كانجي,"Carrot, yellow mustard, red chilli, black salt",جزر، خردل أصفر، فلفل أحمر، ملح أسود,vegetarian,نباتي,10,45,-1,snack,,تسالي,Kerala,South
Kaara kozhambu,كارا كوزامبو,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",زيت السمسم، أفخاذ، معجون التمر الهندي، مسحوق السامبار، الطماطم,vegetarian,نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Keerai kootu,كيراي كوتو,"Moong dal, chana dal, spinach, urad dal, coconut oil",مونج دال، شانا دال، سبانخ، أوراد دال، زيت جوز الهند,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Keerai masiyal,كيراي ماسيال,"Urad dal, curry leaves, sugar, mustard seeds, spinach",أوراد دال، أوراق الكاري، السكر، بذور الخردل، السبانخ,vegetarian,نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Keerai sadam,كيراي صدام,"Greens, tomato, mustard seeds, fenugreek seeds",الخضر والطماطم وبذور الخردل وبذور الحلبة,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Keerai poriyal,كيراي بوريال,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",أوراق القطيفة، سبليت أوراد دال، بذور الخردل، جوز الهند المبشور، الفلفل الأحمر الحار,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Beef Fry,لحم بقري مقلي,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",لحم بقري، جوز هند، جارام ماسالا، أوراق الكاري، فلفل أخضر حار، مسحوق فلفل حار,non vegetarian,غير نباتي,10,60,spicy,main course,بهارات,طبق رئيسي,Kerala,South
Kootu,كوتو,"Chana dal, urad dal, potato, beans, peas",شانا دال، أوراد دال، البطاطس، الفاصوليا، البازلاء,vegetarian,نباتي,10,15,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Kos kootu,كوس كوتو,"Moong dal, chana dal, cabbage, tamarind, curry leaves",مونج دال، تشانا دال، ملفوف، تمر هندي، أوراق الكاري,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Koshambri,كوشامبري,"Moong dal, cucumber, curry leaves, green chili, lemon juice",مونج دال، خيار، أوراق الكاري، فلفل أخضر حار، عصير ليمون,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Karnataka,South
Kothamali sadam,كوثمالي صدام,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",شانا دال، أوراد دال، عنب الثعلب، الأرز الخام، أوراق الكاري,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Kuzhakkattai,كوزهاكاتاي,"Sesame oil, raw rice, jaggery, grated coconut",زيت السمسم، الأرز الخام، الجاجري، جوز الهند المبشور,vegetarian,نباتي,10,90,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Kuzhambu,كوزامبو,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",بصل لؤلؤي، أوراد دال، أفخاذ، طماطم، أوراق الكاري,vegetarian,نباتي,5,30,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Masala Dosa,ماسالا دوسة,"Chana dal, urad dal, potatoes, idli rice, thick poha",شانا دال، أوراد دال، بطاطس، أرز إيدلي، بوها سميك,vegetarian,نباتي,360,90,spicy,snack,بهارات,تسالي,-1,South
Pachadi,باتشادي,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",زيت جوز الهند، الخيار، اللبن الرائب، أوراق الكاري، بذور الخردل,vegetarian,نباتي,10,25,-1,main course,,طبق رئيسي,-1,South
Paniyaram,بانيارام,"Yogurt, ginger, curry leaves, baking soda, green chilli",زبادي، زنجبيل، أوراق الكاري، صودا الخبز، الفلفل الأخضر,vegetarian,نباتي,10,20,-1,main course,,طبق رئيسي,Tamil Nadu,South
Papadum,بابادوم,"Lentils, black pepper, vegetable oil",عدس، فلفل أسود، زيت نباتي,vegetarian,نباتي,5,5,spicy,snack,بهارات,تسالي,Kerala,South
Paravannam,بارافانام,"Raw rice,  jaggery, milk",الأرز الخام، الجاجري، الحليب,vegetarian,نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Kerala,South
Payasam,باياسام,"Rice, cashew nuts, milk, raisins, sugar",الأرز، الكاجو، الحليب، الزبيب، السكر,vegetarian,نباتي,15,30,sweet,dessert,حلو,تحلية,-1,South
Paruppu sadam,باروبو صدام,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",أرهار دال، مسحوق السامبار، الطماطم، أوراق الكاري، بذور الشمر,vegetarian,نباتي,10,20,-1,main course,,طبق رئيسي,Tamil Nadu,South
Pesarattu,بيساراتو,"Green moong beans, rice flour",فاصوليا خضراء، دقيق الأرز,vegetarian,نباتي,120,20,spicy,snack,بهارات,تسالي,Andhra Pradesh,South
Poriyal,بوريال,"Chana dal, urad dal, beans, coconut, mustard",شانا دال، أوراد دال، فاصوليا، جوز الهند، خردل,vegetarian,نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Puli sadam,بولي صدام,"Urad dal, lemon, tamarind, cooked rice, curry leaves",أوراد دال، ليمون، تمر هندي، أرز مطبوخ، أوراق الكاري,vegetarian,نباتي,10,20,-1,main course,,طبق رئيسي,Tamil Nadu,South
Rasam,رسام,"Tomato, curry leaves, garlic, mustard seeds, hot water",طماطم، أوراق الكاري، الثوم، بذور الخردل، الماء الساخن,vegetarian,نباتي,10,35,spicy,main course,بهارات,طبق رئيسي,-1,South
Puttu,بوتو,"Brown rice flour, sugar, grated coconut",دقيق الأرز البني، السكر، جوز الهند المبشور,vegetarian,نباتي,495,40,-1,main course,,طبق رئيسي,Kerala,South
Sambar,سامبر,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",بازلاء حمامة، باذنجان، أفخاذ، مسحوق سامبر، تمر هندي,vegetarian,نباتي,20,45,spicy,main course,بهارات,طبق رئيسي,-1,South
Sandige,سانديج,"Thin rice flakes, black sesame seeds, curry leaves",رقائق الأرز الرقيقة، بذور السمسم الأسود، أوراق الكاري,vegetarian,نباتي,120,60,-1,main course,,طبق رئيسي,Karnataka,South
Sevai,سيفاي,"Sevai, parboiled rice, steamer",سيفاي، أرز مسلوق، باخرة,vegetarian,نباتي,120,30,-1,main course,,طبق رئيسي,-1,South
Thayir sadam,ثاير صدام,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",أوراد دال، خثارة، زيت السمسم، زنجبيل، أوراق الكاري، بذور الخردل,vegetarian,نباتي,10,20,-1,main course,,طبق رئيسي,Tamil Nadu,South
Theeyal,ثيال,"Coconut, whole red beans, masala, sesame oil, tamarind",جوز الهند، فاصوليا حمراء كاملة، ماسالا، زيت السمسم، تمر هندي,vegetarian,نباتي,15,20,-1,main course,,طبق رئيسي,Kerala,South
Uttapam,أوتابام,"Chana dal, urad dal, thick poha, tomato, butter",شانا دال، أوراد دال، بوها سميكة، طماطم، زبدة,vegetarian,نباتي,10,20,spicy,snack,بهارات,تسالي,-1,South
Vada,فادا,"Urad dal, ginger, curry leaves, green chilies, black pepper",أوراد دال، زنجبيل، أوراق الكاري، فلفل أخضر حار، فلفل أسود,vegetarian,نباتي,15,20,spicy,snack,بهارات,تسالي,-1,South
Chicken Varuval,دجاج فاروفال,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",مسحوق لحم بالكاري، قطع دجاج، زنجبيل، طماطم، قرفة,non vegetarian,غير نباتي,10,35,spicy,main course,بهارات,طبق رئيسي,Tamil Nadu,South
Upma,أوبما,"Chana dal, urad dal, ginger, curry leaves, sugar",شانا دال، أوراد دال، زنجبيل، أوراق الكاري، سكر,vegetarian,نباتي,10,20,spicy,snack,بهارات,تسالي,-1,-1
Amti,امتي,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",كالا ماسالا، أرهار دال، أوراق الكاري، بذور الخردل، الماء الساخن,vegetarian,نباتي,10,45,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Zunka,زونكا,"Gram flour, mustard, garlic, turmeric, red chilli",دقيق جرام، خردل، ثوم، كركم، فلفل أحمر,vegetarian,نباتي,10,25,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Kolim Jawla,كوليم جولا,"Baingan, fish, coconut oil, fresh coconut, ginger",بينجان، سمك، زيت جوز الهند، جوز الهند الطازج، زنجبيل,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Saath,ساث,"Urad dal, potatoes, wheat flour, sooji",أوراد دال، بطاطس، دقيق القمح، سوجي,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Bajri no rotlo,باجري لا روتلو,"Wheat flour, pearl millet flour, hot water",دقيق القمح، دقيق الدخن، ماء ساخن,vegetarian,نباتي,10,10,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Coconut vadi,وادي جوز الهند,"Condensed milk, mawa, desiccated coconut, almonds, cashews",حليب مكثف، ماوا، جوز هند مجفف، لوز، كاجو,vegetarian,نباتي,20,30,sweet,dessert,حلو,تحلية,Maharashtra,West
Bhakri,بكري,"Jowar flour, sesame seeds",دقيق جوار، سمسم,vegetarian,نباتي,20,25,-1,main course,,طبق رئيسي,Maharashtra,West
Bombil fry,بومبيل فراي,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",بط بومباي، مالفاني ماسالا، دقيق الأرز، بومباي رافا، فلفل أخضر حار,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Chakali,تشاكالي,"Rice flour, sesame, plain flour, turmeric, red chilli",دقيق الأرز، سمسم، دقيق عادي، كركم، فلفل أحمر,vegetarian,نباتي,10,40,spicy,snack,بهارات,تسالي,Maharashtra,West
Chevdo,شيبدو,"Citric acid, fry, raisins, sugar, chana daal",حامض الستريك، جمهورية يوغوسلافيا الاتحادية، الزبيب، السكر، شانا دال,vegetarian,نباتي,20,30,spicy,snack,بهارات,تسالي,Gujarat,West
Chorafali,تشورافالي,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",أوراد دال، دقيق البنغال جرام، مانجو مجفف، صودا الخبز، ملح أسود,vegetarian,نباتي,5,15,spicy,snack,بهارات,تسالي,Gujarat,West
Copra paak,كوبرا باك,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",حليب مكثف، كريمة نستله، ثلج جوز الهند، ملون طعام أحمر، جوز الهند المجفف,vegetarian,نباتي,20,30,-1,main course,,طبق رئيسي,Gujarat,West
Daal Dhokli,دال دوكلي,"Whole wheat flour, dal, kokum, gur, bengal gram flour",دقيق القمح الكامل، دال، كوكوم، جور، دقيق جرام البنغال,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Kutchi dabeli,كوتشي دابيلي,"Pav, aloo, peanut, pomegranate, star anise",باف، ألو، فول سوداني، رمان، يانسون نجمي,vegetarian,نباتي,30,10,spicy,snack,بهارات,تسالي,Gujarat,West
Dahi vada,داهي فادا,"Urad dal, bhuna chana, garam masala, dates, tamarind",أوراد دال، بهونا شانا، جارام ماسالا، تمر، تمر هندي,vegetarian,نباتي,30,30,-1,snack,,تسالي,Maharashtra,West
Dalithoy,داليثوي,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",أرهار دال، زيت جوز الهند، أوراق الكاري، بذور الخردل، الفلفل الأحمر,vegetarian,نباتي,5,20,-1,main course,,طبق رئيسي,Maharashtra,West
Dhokla,دكلا,"Rava, coconut, gram flour, mustard, sesame",رافا، جوز الهند، دقيق الجرام، خردل، سمسم,vegetarian,نباتي,10,20,spicy,snack,بهارات,تسالي,Gujarat,West
Dudhi halwa,دودهي حلوة,"Bottle gourd, green, raisins, sugar, clarified butter",قرع أخضر، زبيب، سكر، زبدة مصفاة,vegetarian,نباتي,15,30,sweet,dessert,حلو,تحلية,Gujarat,West
Gatta curry,جاتا كاري,"Yogurt, besan, sauce, garam masala powder, gram flour",زبادي، بيسان، صوص، مسحوق جارام ماسالا، دقيق جرام,vegetarian,نباتي,10,20,spicy,main course,بهارات,طبق رئيسي,Rajasthan,West
Gud papdi,الله بابدي,"Wheat flour, jaggery, clarified butter, sliced almonds",دقيق القمح، الجاجري، الزبدة المصفاة، شرائح اللوز,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Gujarat,West
Ghooghra,الغوغرة,"Dry fruits, semolina, all purpose flour",فواكه جافة، سميد، دقيق لجميع الأغراض,vegetarian,نباتي,-1,-1,spicy,snack,بهارات,تسالي,Gujarat,West
Handwo,هاندوو,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",قرع الزجاجة، شانا دال، ملفوف، أوراد دال، تور دال,vegetarian,نباتي,20,30,spicy,snack,بهارات,تسالي,Gujarat,West
Halvasan,هالفاسان,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",رافا القمح الكامل، بذور الشيا، ليمون، علكة صالحة للأكل، لتر حليب,vegetarian,نباتي,-1,-1,sweet,dessert,حلو,تحلية,Gujarat,West
Jeera Aloo,جيرا ألو,"Green chilies, lemon juice, chili powder, boiled potatoes",فلفل أخضر حار، عصير ليمون، مسحوق فلفل حار، بطاطس مسلوقة,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Kansar,كانسار,"Wheat flour, cashews, rapeseed oil",دقيق القمح، الكاجو، زيت بذور اللفت,vegetarian,نباتي,10,40,-1,main course,,طبق رئيسي,Gujarat,West
Keri no ras,كيري لا رأس,"Mango, sugar",مانجو، سكر,vegetarian,نباتي,10,10,sour,main course,حامض,طبق رئيسي,Gujarat,West
Khakhra,خاخرا,"Whole wheat flour, low fat, bengal gram flour",دقيق القمح الكامل، قليل الدسم، دقيق جرام البنغال,vegetarian,نباتي,20,40,spicy,snack,بهارات,تسالي,Gujarat,West
Khandvi,خاندفي,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",معجون الفلفل الأخضر، بذور السمسم الأبيض، دقيق الجرام، أوراق الكاري، الفلفل الأخضر الحار,vegetarian,نباتي,20,45,spicy,snack,بهارات,تسالي,Gujarat,West
Kombdi vade,كومبدي فيد,"Rice flour, urad dal, wheat flour, gram flour, turmeric",دقيق الأرز، أوراد دال، دقيق القمح، دقيق الجرام، الكركم,vegetarian,نباتي,10,25,spicy,snack,بهارات,تسالي,Maharashtra,West
Laapsi,لابسي,"Cinnamon, jaggery, clarified butter, dry roasted",قرفة، جاجري، زبدة مصفاة، محمصة جافة,vegetarian,نباتي,10,40,spicy,main course,بهارات,طبق رئيسي,Madhya Pradesh,Central
Koshimbir,كوشيمبير,"Cucumber, carrot, tomatoes, cilantro",خيار، جزر، طماطم، كزبرة,vegetarian,نباتي,10,10,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Methi na Gota,ميثي في ??جوتا,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",رافا، دقيق الحمص، عصير الليمون، الكركم، أوراق الحلبة,vegetarian,نباتي,15,30,bitter,main course,مر,طبق رئيسي,Gujarat,West
Mohanthal,موهانثال,"Rose water, pistachio, badam, bengal gram flour, saffron",ماء ورد، فستق، بادام، دقيق البنغال جرام، زعفران,vegetarian,نباتي,5,45,sweet,dessert,حلو,تحلية,Gujarat,West
Muthiya,موتيا,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",قرع، دقيق القمح الكامل، رافا، بذور السمسم، دقيق جرام البنغال,vegetarian,نباتي,15,30,bitter,snack,مر,تسالي,Gujarat,West
Patra,باترا,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",فطيرة أربي، بذور السمسم، جور، دقيق البنغال جرام، إيملي,vegetarian,نباتي,10,40,spicy,snack,بهارات,تسالي,Gujarat,West
Pav Bhaji,باف باجي,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",باف باجي ماسالا، جوبي، بطاطا، بازلاء خضراء، لفائف العشاء,vegetarian,نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Puri Bhaji,بوري باجي,"Aloo, urad dal, mustard, ginger, curry leaves",ألو، أوراد دال، خردل، زنجبيل، أوراق الكاري,vegetarian,نباتي,10,30,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Sabudana Khichadi,سابودانا خيشادي,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",فول سوداني خام، سابودانا، ليمون، زيت الأفوكادو، أوراق الكاري، الفلفل الأخضر الحار,vegetarian,نباتي,70,30,spicy,snack,بهارات,تسالي,Maharashtra,West
Sev khamani,سيف خاماني,"Khaman, pomegranate, sev, powdered sugar, garlic",خامان، رمان، سيف، سكر بودرة، ثوم,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Sev tameta,سيف تاميتا,"Sev, ginger, tomato, sugar",سيف، زنجبيل، طماطم، سكر,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Namakpara,ناماكبارا,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",دقيق القمح، صودا الخبز، دقيق لجميع الأغراض، فلفل أسود، زيت دوار الشمس,vegetarian,نباتي,10,35,spicy,snack,بهارات,تسالي,Gujarat,West
Sukhdi,سوخدي,"Whole wheat flour, gur, clarified butter",دقيق القمح الكامل، جور، زبدة مصفاة,vegetarian,نباتي,10,20,sweet,dessert,حلو,تحلية,Maharashtra,West
Surnoli,سورنولي,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",رقائق الأرز، الزبادي، الأرز الخام، الجاجري، جوز الهند المبشور,vegetarian,نباتي,60,10,spicy,snack,بهارات,تسالي,Maharashtra,West
Thalipeeth,ثليبيث,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",دقيق القمح الكامل، دقيق الأرز، دقيق الدخن، دقيق الذرة الرفيعة، بذور السمسم,vegetarian,نباتي,25,30,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Undhiyu,أندهيو,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",بطاطا حلوة، سورتي بابدي، بطاطا صغيرة، فالور بابدي، بازلاء خضراء,vegetarian,نباتي,25,60,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Veg Kolhapuri,الخضار كولهابوري,"Gobi, potato, beans, khus khus, coconut",جوبي، بطاطا، فاصوليا، خوس خوس، جوز الهند,vegetarian,نباتي,20,30,spicy,main course,بهارات,طبق رئيسي,Maharashtra,West
Vindaloo,فيندالو,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",دجاج، زيت جوز الهند، خل النبيذ، الزنجبيل، الأخضر، القرفة,non vegetarian,غير نباتي,10,40,spicy,main course,بهارات,طبق رئيسي,Goa,West
Lilva Kachori,ليلفا كاتشوري,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",صلصة الثوم الأخضر، البازلاء الخضراء الطازجة، الزنجبيل، عصير الليمون، الدقيق العادي,vegetarian,نباتي,30,6,spicy,snack,بهارات,تسالي,Gujarat,West
Mag Dhokli,ماج دوكلي,"Moong beans, jaggery, red chillies, oil, salt",فاصولياء مونج، جاجري، فلفل أحمر، زيت، ملح,vegetarian,نباتي,-1,-1,spicy,snack,بهارات,تسالي,Gujarat,West
Khichu,كيتشو,"Rice flour, sesame seeds, baking soda, peanut oil",دقيق الأرز، بذور السمسم، صودا الخبز، زيت الفول السوداني,vegetarian,نباتي,5,10,spicy,snack,بهارات,تسالي,Gujarat,West
Thepla,ثيبلا,"Chickpea flour, methi leaves, jowar flour, wheat flour",دقيق الحمص، أوراق الميثي، دقيق الجوار، دقيق القمح,vegetarian,نباتي,15,30,spicy,snack,بهارات,تسالي,Gujarat,West
Farsi Puri,الفارسية بوري,"Semolina, clarified butter, oil, white flour, black pepper",سميد، زبدة، زيت، دقيق أبيض، فلفل أسود,vegetarian,نباتي,-1,-1,-1,snack,,تسالي,Gujarat,West
Khaman,خامان,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",زبادي، جوز الهند الطازج، بذور السمسم، سميد، دقيق الجرام,vegetarian,نباتي,10,20,spicy,snack,بهارات,تسالي,Gujarat,West
Turiya Patra Vatana sabji,توريا باترا فاتانا سابجي,"Ridge gourd, baking soda, sugar, grated coconut, peas",قرع ريدج، صودا الخبز، السكر، جوز الهند المبشور، البازلاء,vegetarian,نباتي,35,40,spicy,main course,بهارات,طبق رئيسي,Gujarat,West
Churma Ladoo,تشورما لادو,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",دقيق القمح الكامل، خوص، بذور السمسم، جوز الهند الجاف، جور,vegetarian,نباتي,12,40,sweet,dessert,حلو,تحلية,Rajasthan,West
Cheera Doi,تشيرا دوي,"Rice, mango, curd",أرز، مانجو، خثارة,vegetarian,نباتي,-1,-1,sweet,dessert,حلو,تحلية,West Bengal,East
Gheela Pitha,جيلا بيثا,"Sticky rice, rice flour, jaggery, orange rind",الأرز اللزج، دقيق الأرز، الجاجري، قشر البرتقال,vegetarian,نباتي,10,30,sweet,dessert,حلو,تحلية,Assam,North East
Khar,خار,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",البابايا الخام، بانش فوران ماسالا، بذور حبة البركة، زيت الخردل، بذور الشمر,vegetarian,نباتي,10,20,-1,main course,,طبق رئيسي,Assam,North East
Kumol Sawul,كومول ساول,"Rice, eggs, carrot, beetroot",أرز، بيض، جزر، شمندر,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Luchi,لوتشي,"Maida, vegetable oil",مايدا، زيت نباتي,vegetarian,نباتي,20,30,-1,main course,,طبق رئيسي,West Bengal,East
Alu Pitika,ألو بيتيكا,"Potatoes, mustard oil, fish, green chillies",البطاطس، زيت الخردل، السمك، الفلفل الأخضر,non vegetarian,غير نباتي,5,20,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Masor tenga,ماسور تنغا,"Ridge gourd, fish, lemon, tomatoes, mustard oil",قرع ريدج، سمك، ليمون، طماطم، زيت الخردل,non vegetarian,غير نباتي,15,25,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Bengena Pitika,بينجينا بيتيكا,"Brinjal, onions, salt, sesame seeds, coriander",برينجال، بصل، ملح، سمسم، كزبرة,vegetarian,نباتي,-1,-1,-1,main course,,طبق رئيسي,Assam,North East
Bilahi Maas,بلاهي ماس,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",بطاطا، جارام ماسالا، طماطم، زيت الخردل، ورق الغار,non vegetarian,غير نباتي,10,20,-1,main course,,طبق رئيسي,Assam,North East
Black rice,أرز أسود,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",الأرز الأسود المحظور، الدجاج، زيت الزيتون، شرائح اللوز، مسحوق الثوم,non vegetarian,غير نباتي,-1,-1,-1,main course,,طبق رئيسي,Manipur,North East
Bora Sawul,بورا ساول,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",برياني ماسالا، خضروات مشكلة، مونج دال أصفر، أحمر كامل، بذور خردل,vegetarian,نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Brown Rice,أرز بني,"Brown rice, soy sauce, olive oil",الأرز البني، صلصة الصويا، زيت الزيتون,vegetarian,نباتي,15,25,-1,main course,,طبق رئيسي,-1,-1
Chingri malai curry,كاري تشينغري مالاي,"Coconut milk, lobster, fresh green chilli, ginger, red onion",حليب جوز الهند، جراد البحر، الفلفل الأخضر الطازج، الزنجبيل، البصل الأحمر,non vegetarian,غير نباتي,10,40,spicy,main course,بهارات,طبق رئيسي,West Bengal,East
Goja,غوجا,"Baking soda, clarified butter, oil, all purpose flour",صودا الخبز، الزبدة الموضحة، الزيت، الدقيق لجميع الأغراض,vegetarian,نباتي,20,60,sweet,dessert,حلو,تحلية,West Bengal,East
Hando Guri,هاندو جوري,"Jaggery, raisins",جاجري، زبيب,vegetarian,نباتي,-1,-1,sweet,dessert,حلو,تحلية,Assam,North East
Haq Maas,حق ماس,"Lamb, garam masala powder, curd, turmeric, bay leaf",لحم ضأن، مسحوق جارام ماسالا، خثارة، كركم، ورق الغار,non vegetarian,غير نباتي,20,40,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Chingri Bhape,تشينغري بهابي,"Coconut, prawns, curd, mustard seed, green chili",جوز الهند، روبيان، خثارة، بذور الخردل، فلفل أخضر حار,non vegetarian,غير نباتي,15,30,-1,main course,,طبق رئيسي,West Bengal,East
Kabiraji,كابراجي,"Fish fillet, besan, lemon, mint, ginger",سمك فيليه، بيسان، ليمون، نعناع، ??زنجبيل,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,West Bengal,East
Khorisa,خريسة,"Fermented bamboo shoot, potato, ginger, green, mustard oil",براعم الخيزران المتخمرة، البطاطس، الزنجبيل، الأخضر، زيت الخردل,vegetarian,نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Koldil Chicken,دجاج كولديل,"Banana flower, chicken, green chili, mustard oil, lemon juice",زهرة الموز، الدجاج، الفلفل الأخضر الحار، زيت الخردل، عصير الليمون,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Konir Dom,كونير دوم,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",الو، طماطم، زيت الخردل، ورق الغار، عود القرفة,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Koldil Duck,كولديل داك,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",دقيق الأرز، لحم الضأن، الموز، دقيق الجرام، زيت الزيتون، مسحوق الخبز,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Masor Koni,ماسور كوني,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",بطارخ السمك، زهور اليقطين، زيت الخردل، الكركم، الطماطم,non vegetarian,غير نباتي,-1,-1,spicy,main course,بهارات,طبق رئيسي,Assam,North East
Mishti Chholar Dal,مشتي تشولر دال,"Chana dal, fresh coconut, ginger, cinnamon, raisins",تشانا دال، جوز الهند الطازج، الزنجبيل، القرفة، الزبيب,vegetarian,نباتي,10,30,sweet,main course,حلو,طبق رئيسي,West Bengal,East
